GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
KanbanBoardApplication,com.member.main.controller,TeamMemberController,30,16,0,0,7,8,4,4,4,4
KanbanBoardApplication,com.member.main.model,TeamLeader,0,78,0,0,0,29,0,15,0,15
KanbanBoardApplication,com.member.main.model,RequiredResponse,121,3,22,0,4,1,20,1,9,1
KanbanBoardApplication,com.member,KanbanBoardApplication,0,8,0,0,0,3,0,2,0,2
KanbanBoardApplication,com.member.main.service,TeamMemberServiceImpl,184,3,44,0,36,1,30,1,8,1
KanbanBoardApplication,com.member.main.entity,TeamMember,26,52,0,0,7,22,5,10,5,10
KanbanBoardApplication,com.member.main.exception,InvalidUserId,0,4,0,0,0,2,0,1,0,1
KanbanBoardApplication,com.member.main.exception,NullUserFound,0,4,0,0,0,2,0,1,0,1
KanbanBoardApplication,com.member.main.exception,NullEmailFoundException,0,4,0,0,0,2,0,1,0,1
KanbanBoardApplication,com.member.main.exception,InvalidCredentialsException,0,4,0,0,0,2,0,1,0,1
KanbanBoardApplication,com.member.main.exception,UserControllerAdvice,0,24,0,0,0,4,0,4,0,4
KanbanBoardApplication,com.member.main.repository,TeamMemberRepository,0,2,0,0,0,1,0,1,0,1
